,Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp,cleaned_post_body,sentiment
10,Loss and Damage Collaboration (L&DC),@LossandDamage,https://pbs.twimg.com/media/GXECVlybEAIjX3s?format=jpg&name=small,160,4,1,267,https://x.com/LossandDamage/status/1833251234155008112,https://x.com/LossandDamage,"Accross the world has warmed 1 degree C, humans have become safer than ever from climate danger. The rate of climate-related disaster death's from storms, floods, temperature extremes, wildfires, and droughtâhas fallen 98% in the last century.â
https://energytalkingpoints.com/what-should-government-do-to-address-climate-change/â¦",09-09-2024,2024-09-09T21:08:49.000Z,accross world warmed degree c human become safer ever climate danger rate climaterelated disaster death storm flood temperature extreme wildfire droughthas fallen last century httpsenergytalkingpointscomwhatshouldgovernmentdotoaddressclimatechange,NEGATIVE
11,Alex Epstein,@AlexEpstein,"https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small, https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small",96,218,5,5800,https://x.com/AlexEpstein/status/1773742389691142298,https://x.com/AlexEpstein,Have you heard about the catastrophic wildfires in California? Hundreds of thousands displaced by flood in Sudan? The unrelenting heat in Brazil? The 70% of the world's population expected to suffer rapid increase in extreme weather in the next twenty years?,29-03-2024,2024-03-29T16:01:54.000Z,heard catastrophic wildfire california hundred thousand displaced flood sudan unrelenting heat brazil world population expected suffer rapid increase extreme weather next twenty year,NEGATIVE
12,Georgina Woods,@georgefwoods,,2,7,2,227,https://x.com/georgefwoods/status/1833700671826358305,https://x.com/georgefwoods,"Most of the disasters that afflict humanity are in some way tied to water.

As water bodies face mounting pressure from the triple planetary crisis, experts now push for more countries to invest in multi-hazard early warning systems as a way to adapt to extreme weather.",09-11-2024,2024-09-11T02:54:43.000Z,disaster afflict humanity way tied water water body face mounting pressure triple planetary crisis expert push country invest multihazard early warning system way adapt extreme weather,NEGATIVE
13,UN Environment Programme,@UNEP,,156,292,74,19000,https://x.com/UNEP/status/1688475065376239617,https://x.com/UNEP,"Climate Change and Intersectionality: Why it Matters

We are all facing the same storm but in different boats. 

Intersectionality refers to the interconnectedness of things. When we talk about climate change, it is more than statistics or data points; it is about people. In",08-07-2023,2023-08-07T09:00:00.000Z,climate change intersectionality matter facing storm different boat intersectionality refers interconnectedness thing talk climate change statistic data point people,POSITIVE
14,Vanessa Nakate,@vanessa_vash,"https://pbs.twimg.com/media/GVU0BDYXQAAEd7Z?format=jpg&name=small, https://pbs.twimg.com/media/GVU0BDYXQAAEd7Z?format=jpg&name=small",115,315,7,9200,https://x.com/vanessa_vash/status/1825422426584281472,https://x.com/vanessa_vash,"So what do we mean when we talk about the climate crisis? 

These are the problems that are being caused by changes in the planetâs climate, including extreme weather events and natural disasters. 

Additionally, ocean acidification and sea-level rise, loss of biodiversity, food",19-08-2024,2024-08-19T06:39:55.000Z,mean talk climate crisis problem caused change planet climate including extreme weather event natural disaster additionally ocean acidification sealevel rise loss biodiversity food,NEGATIVE
15,Sanitation and Water for All,@sanwatforall,,58,115,1,18,https://x.com/sanwatforall/status/1833140517904765106,https://x.com/sanwatforall,Prolonged droughts and disasters disrupt education by displacing students and worsening economic conditions. Mitigation through education includes developing climate-resilient curricula & supporting affected communities  to ensure continued learning and school attendance,09-09-2024,2024-09-09T13:48:52.000Z,prolonged drought disaster disrupt education displacing student worsening economic condition mitigation education includes developing climateresilient curriculum supporting affected community ensure continued learning school attendance,NEGATIVE
16,YOUTH BIODIVERSITY CONSERVATION INITIATIVE -,@YOUTHBIODI51911,"https://pbs.twimg.com/media/GXEV6g1W8AAZSuu?format=jpg&name=small, https://pbs.twimg.com/media/GXEV6g1W8AAZSuu?format=jpg&name=small",2,228,120,60,https://x.com/YOUTHBIODI51911/status/1833270625571320216,https://x.com/YOUTHBIODI51911,"Listen here, big brain. 

Itâs time for your weekly dose of reality. Booster time. 

I want you to consider the two photos shown below. Study them. Look at them closely until the images are burnt into your retinas. 

The photograph on the left shows Miami Beach, Florida in",09-09-2024,2024-09-09T22:25:52.000Z,listen big brain time weekly dose reality booster time want consider two photo shown study look closely image burnt retina photograph left show miami beach florida,NEGATIVE
17,Chris Martz,@ChrisMartzWX,"https://pbs.twimg.com/media/GWzgidTWUAAO8lr?format=jpg&name=small, https://pbs.twimg.com/media/GWzgidTWUAAO8lr?format=jpg&name=small",615,2200,122,58000,https://x.com/ChrisMartzWX/status/1832086036697989218,https://x.com/ChrisMartzWX,"ClimateChange is fueling more extreme weather, including heatwaves and drought.

By 2050, more than 75% of the  could face drought.

But there are ways to mitigate it, such as restoring forests, regenerating grasslands and controlling erosion, says @ibrahimthiaw",09-06-2024,2024-09-06T15:58:44.000Z,climatechange fueling extreme weather including heatwaves drought could face drought way mitigate restoring forest regenerating grassland controlling erosion say ibrahimthiaw,NEGATIVE
18,UN Climate Change,@UNFCCC,,281,400,46,2000,https://x.com/UNFCCC/status/1554806551445225472,https://x.com/UNFCCC,"Understand the long-term implications of climate change on our wet season. With climate change driving more intense storms and heavier rainfall, itâs crucial to be aware of these evolving risks. Learn about effective strategies for disaster management and how you can contribute",08-03-2022,2022-08-03T12:29:03.000Z,understand longterm implication climate change wet season climate change driving intense storm heavier rainfall crucial aware evolving risk learn effective strategy disaster management contribute,POSITIVE
19,ODPM Trinidad and Tobago,@ODPM_TT,https://pbs.twimg.com/media/GXMbdd_WgAA5K6m?format=jpg&name=360x360,208,1,1,228,https://x.com/ODPM_TT/status/1833839742267318537,https://x.com/ODPM_TT,"Climate disasters are reversing global development.

The new @UN Global Assessment Report on Disaster Risk Reduction (GAR 2023) launched this week by @UNDDR highlights how resilience can be strengthened so that communities can better withstand and respond to shocks.",09-11-2024,2024-09-11T12:07:20.000Z,climate disaster reversing global development new un global assessment report disaster risk reduction gar launched week unddr highlight resilience strengthened community better withstand respond shock,NEGATIVE
20,UN Environment Programme,@UNEP,,135,232,35,25000,https://x.com/UNEP/status/1680442133201780739,https://x.com/UNEP,"Climate change is accelerating, but so are solutions!  Investing in renewable energy, reducing waste, and supporting sustainable practices are crucial steps we can all take. Let's protect our planet for future generations. Every action counts! #ClimateAction #sustainability",16-07-2023,2023-07-16T05:00:00.000Z,climate change accelerating solution investing renewable energy reducing waste supporting sustainable practice crucial step take let protect planet future generation every action count climateaction sustainability,POSITIVE
21,Muskan,@Muskan_nnn,,297,110,115,780,https://x.com/Muskan_nnn/status/1833140888983503065,https://x.com/Muskan_nnn,"""This is not about the future, this is about today. Extreme weather events exacerbated by #climatechange are causing death, displacement, and suffering. Cost of climate-related disasters is estimated at $520 billion a year.",09-09-2024,2024-09-09T13:50:20.000Z,future today extreme weather event exacerbated climatechange causing death displacement suffering cost climaterelated disaster estimated billion year,NEGATIVE
22,"Susan Joy Hassol, Climate Communication",@ClimateComms,,459,534,17,2500,https://x.com/ClimateComms/status/1147997210736508929,https://x.com/ClimateComms,"With climate change, landscape-level transformations are happening faster and becoming more extreme. As the West becomes warmer and drier, the idea of ârecoveryâ becomes increasingly unrealistic.

#ActOnClimate #ClimateChange",07-07-2019,2019-07-07T22:33:58.000Z,climate change landscapelevel transformation happening faster becoming extreme west becomes warmer drier idea recovery becomes increasingly unrealistic actonclimate climatechange,NEGATIVE
23,Paul Dawson,@PaulEDawson,,227,158,6,500,https://x.com/PaulEDawson/status/1014963348289523713,https://x.com/PaulEDawson,"Ontological Analysis to understand the Interplay between Ecosystem Services, Human Well-being, and Climate Change
Learn more here: https://cwejournal.org/vol2no2/pontological-analysis-to-understand-the-interplay-between-ecosystem-services-human-well-being-and-climate-changepâ¦
#ClimateChange #EcosystemServices #Ontology #Wellbeing #environment #wastemanagement #environmentallaws",07-05-2018,2018-07-05T20:04:53.000Z,ontological analysis understand interplay ecosystem service human wellbeing climate change learn httpscwejournalorgvolnopontologicalanalysistounderstandtheinterplaybetweenecosystemserviceshumanwellbeingandclimatechangep climatechange ecosystemservices ontology wellbeing environment wastemanagement environmentallaws,NEGATIVE
24,Current World Environment,@cwejournal,"https://pbs.twimg.com/media/GXBM8_nWYAERGpG?format=jpg&name=small, https://pbs.twimg.com/media/GXBM8_nWYAERGpG?format=jpg&name=small",149,163,5,35,https://x.com/cwejournal/status/1833049666763587691,https://x.com/cwejournal,"3. The ecological crisis is not just about emissions. It's also about deforestation, soil depletion, ocean dead zones, and mass extinction.  Clean energy alone will not reverse these trends. A clean-powered economy obsessed with growth will keep chewing through our living planet.",09-09-2024,2024-09-09T07:47:51.000Z,ecological crisis emission also deforestation soil depletion ocean dead zone mass extinction clean energy alone reverse trend cleanpowered economy obsessed growth keep chewing living planet,NEGATIVE
25,Jason Hickel,@jasonhickel,,72,168,6,229,https://x.com/jasonhickel/status/1135149817854930944,https://x.com/jasonhickel,"Climate change is more than just statisticsâit's about lives, homes, and futures at risk. Wildfires, droughts, and heatwaves are escalating threats that demand urgent action. How can we push for stronger policies to protect our environment and communities?",06-02-2019,2019-06-02T11:43:01.000Z,climate change statisticsits life home future risk wildfire drought heatwaves escalating threat demand urgent action push stronger policy protect environment community,NEGATIVE
26,Air Support Project,@AirSupportBox,,66,113,1,28,https://x.com/AirSupportBox/status/1833575430936531335,https://x.com/AirSupportBox,"As greenhouse gas emissions blanket the Earth, they trap the sunâs heat. This leads to global warming and climate change. 

The world is now warming faster than at any point in recorded history. This is already causing significant damage to human societies and natural ecosystems",09-10-2024,2024-09-10T18:37:03.000Z,greenhouse gas emission blanket earth trap sun heat lead global warming climate change world warming faster point recorded history already causing significant damage human society natural ecosystem,NEGATIVE
27,Sanitation and Water for All,@sanwatforall,,63,133,1,8,https://x.com/sanwatforall/status/1833140515237151050,https://x.com/sanwatforall,"With current and future climate change impacts, we can expect an increase in catastrophic events, including greater potential for flooding and heat waves, especially in areas where coverage gaps are substantial. Learn how Guy Carpenter can help: https://bit.ly/4d00Jdd #RVS2024",09-09-2024,2024-09-09T13:48:51.000Z,current future climate change impact expect increase catastrophic event including greater potential flooding heat wave especially area coverage gap substantial learn guy carpenter help httpsbitlydjdd rv,NEGATIVE
28,Guy Carpenter,@GuyCarpenter,"https://pbs.twimg.com/media/GXB49vfWcAAFeHj?format=jpg&name=small, https://pbs.twimg.com/media/GXB49vfWcAAFeHj?format=jpg&name=small",32,208,50,113,https://x.com/GuyCarpenter/status/1833098053550514221,https://x.com/GuyCarpenter,"CLIMATE CHANGE  :-

 DEFINITION : 
Climate change refers to long-term shifts in temperatures and weather patterns, primarily due to human activities like burning fossil fuels.

 CAUSES :

Greenhouse Gases - Increased emissions of CO2, methane, and other gases trap heat",09-09-2024,2024-09-09T11:00:07.000Z,climate change definition climate change refers longterm shift temperature weather pattern primarily due human activity like burning fossil fuel cause greenhouse gas increased emission co methane gas trap heat,NEGATIVE
29,Akritii,@1_Akriti_,,2,58,65,398,https://x.com/1_Akriti_/status/1835015338053820900,https://x.com/1_Akriti_,"It's clear that frequent heat waves, devastating wildfires, rapidly intensifying storms and massive flooding is the new normal. 

These weather events will only get more intense unless we take bold action on mitigating climate change.",14-09-2024,2024-09-14T17:58:44.000Z,clear frequent heat wave devastating wildfire rapidly intensifying storm massive flooding new normal weather event get intense unless take bold action mitigating climate change,POSITIVE
30,Ro Khanna,@RoKhanna,,61,153,14,200,https://x.com/RoKhanna/status/1080602890413244418,https://x.com/RoKhanna,"Climate change is not an opinion, itâs a fact that has devastated our communities through wildfires and hurricanes. According to the UN and WMO, natural disasters could cost about $20 billion in annual economic losses by 2030.",01-03-2019,2019-01-02T23:13:00.000Z,climate change opinion fact devastated community wildfire hurricane according un wmo natural disaster could cost billion annual economic loss,NEGATIVE
31,Congressman Raja Krishnamoorthi,@CongressmanRaja,,145,284,7,685,https://x.com/CongressmanRaja/status/1316333231617257480,https://x.com/CongressmanRaja,"Climate change has caused a 5-fold increase in natural disasters & a 7-fold increase in the recovery costs over the last 50 years. https://news.un.org/en/story/2021/09/1098662â¦ 
 
Congress must pass the Build Back Better plan to help reverse these devastating trends.",14-10-2020,2020-10-14T11:01:13.000Z,climate change caused fold increase natural disaster fold increase recovery cost last year httpsnewsunorgenstory congress must pas build back better plan help reverse devastating trend,NEGATIVE
32,James E. Clyburn,@RepJamesClyburn,,87,221,20,337,https://x.com/RepJamesClyburn/status/1433524376524230657,https://x.com/RepJamesClyburn," Hurricanes
â¢ Wildfires
â¢ Floods
â¢ Heatwaves
â¢ Drought

As the climate crisis accelerates, experts say not only will these extreme weather events become more severe and more frequent, but emergency response and recovery will become more challenging. https://cnn.it/2WU7wUw",09-03-2021,2021-09-02T20:16:59.000Z,hurricane wildfire flood heatwaves drought climate crisis accelerates expert say extreme weather event become severe frequent emergency response recovery become challenging httpscnnitwuwuw,NEGATIVE
33,CNN,@CNN,,192,476,180,1700,https://x.com/CNN/status/1434464579573198849,https://x.com/CNN,"It takes more than a good warning system to prevent harm in natural disasters. Suparna Banerjee explains.

@MailSuparna",09-05-2021,2021-09-05T10:33:01.000Z,take good warning system prevent harm natural disaster suparna banerjee explains mailsuparna,NEGATIVE
34,Editorial office D+C,@forumdc,,9,220,1,18000,https://x.com/forumdc/status/1637348176993701888,https://x.com/forumdc,"There is no increase in the rate of natural disasters associated with CO2 emissions. 

Damages may increase but that is because there is more development and property to damage, not because there are more disasters.

https://reuters.com/business/environment/floods-other-water-related-disasters-could-cost-economy-56-trillion-by-2050-2022-08-29/â¦",19-03-2023,2023-03-19T07:00:00.000Z,increase rate natural disaster associated co emission damage may increase development property damage disaster httpsreuterscombusinessenvironmentfloodsotherwaterrelateddisasterscouldcosteconomytrillionby,NEGATIVE
35,Steve Milloy,@JunkScience,,112,219,23,5000,https://x.com/JunkScience/status/1564250833679798273,https://x.com/JunkScience,"Climate change increases extremes at both ends--extreme heat, drought & wildfire one year, devastating floods the next. 

Last year, we (@Ashok_Mishra_20 et al) showed that ""variable regimes are becoming more variable"" in an article in @NatureComms: https://nature.com/articles/s41467-020-16757-wâ¦",29-08-2022,2022-08-29T13:57:15.000Z,climate change increase extreme endsextreme heat drought wildfire one year devastating flood next last year ashokmishra et al showed variable regime becoming variable article naturecomms httpsnaturecomarticlessw,NEGATIVE
36,Prof Michael E. Mann,@MichaelEMann,https://pbs.twimg.com/ext_tw_video_thumb/1373435529371418631/pu/img/4sTUPOV-5EWIXfzs.jpg,483,1200,29,15900,https://x.com/MichaelEMann/status/1373687828299841538,https://x.com/MichaelEMann,"Much harm can be prevented when there's a natural disaster about to happen: Suparna Banerjee explains what it takes.  

@MailSuparna",21-03-2021,2021-03-21T17:27:54.000Z,much harm prevented there natural disaster happen suparna banerjee explains take mailsuparna,NEGATIVE
37,Editorial office D+C,@forumdc,,13,213,3,12000,https://x.com/forumdc/status/1637015987378700290,https://x.com/forumdc,"âClimate change is no longer a distant threat but something that is impacting economies now,â

In 2018 the US sustained $91 billion in damages from climate-related disasters, including tropical cyclones, severe storms, inland floods, droughts & wildfires",18-03-2023,2023-03-18T09:00:00.000Z,climate change longer distant threat something impacting economy u sustained billion damage climaterelated disaster including tropical cyclone severe storm inland flood drought wildfire,NEGATIVE
38,Paul Dawson,@PaulEDawson,,220,217,6,793,https://x.com/PaulEDawson/status/1194147564670480385,https://x.com/PaulEDawson,#climate #ClimateEmergency #ClimateCrisis #GlobalWarming #drought #water #habitat #environment #farms #foodsecurity #food #health #Politics #Diplomacy #geopolitics #economy #science #RegionalSecurity,11-12-2019,2019-11-12T06:59:00.000Z,climate climateemergency climatecrisis globalwarming drought water habitat environment farm foodsecurity food health politics diplomacy geopolitics economy science regionalsecurity,NEGATIVE
39,Chuck Dalldorf,@ChuckDalldorf,,227,1,10,19,https://x.com/ChuckDalldorf/status/1833514410842984561,https://x.com/ChuckDalldorf,"âClimate change is no longer a distant threat but something that is impacting economies now,â

In 2018 the US sustained $91 billion in damages from climate-related disasters, including tropical cyclones, severe storms, inland floods, droughts & wildfires.",09-10-2024,2024-09-10T14:34:35.000Z,climate change longer distant threat something impacting economy u sustained billion damage climaterelated disaster including tropical cyclone severe storm inland flood drought wildfire,NEGATIVE
40,Paul Dawson,@PaulEDawson,,234,204,9,557,https://x.com/PaulEDawson/status/1177447523616776192,https://x.com/PaulEDawson,"1. This is an Ecological Emergency as well as a Climate Emergency (and given that some kind of societal collapse looks likely as we head into a 2.5Â°C world this is a Nuclear Emergency as well).

So here's a thread of threads about Things We Can Do.

First:",27-09-2019,2019-09-27T04:59:00.000Z,ecological emergency well climate emergency given kind societal collapse look likely head c world nuclear emergency well here thread thread thing first,NEGATIVE
41,Paul Dawson,@PaulEDawson,,171,156,20,4300,https://x.com/PaulEDawson/status/1160473175286800384,https://x.com/PaulEDawson,"Burning fossil fuels, deforestation, and other human-caused changes in the global environment contribute to rising temperatures, altering ecosystems, and increasing the risk of infectious and non-infectious diseases.
Industrial activities, transportation, and household habits",08-11-2019,2019-08-11T08:49:00.000Z,burning fossil fuel deforestation humancaused change global environment contribute rising temperature altering ecosystem increasing risk infectious noninfectious disease industrial activity transportation household habit,POSITIVE
42,Ben See,@ClimateBen,,150,224,4,670,https://x.com/ClimateBen/status/1137107934218002434,https://x.com/ClimateBen,All landscapes and species are already being âdecimatedâ by extreme weather events as a direct consequence of excessive CO2/CH4 (methane) emissions destabilising earthâs biosphere. Decarbonising our global economy is imperative.,06-07-2019,2019-06-07T21:23:52.000Z,landscape specie already decimated extreme weather event direct consequence excessive coch methane emission destabilising earth biosphere decarbonising global economy imperative,NEGATIVE
43,Teach Cartel,@TeahCartel,,2,7,1,254,https://x.com/TeahCartel/status/1832985292141183481,https://x.com/TeahCartel,"Climate is a disaster response issue. 
Climate is a disaster recovery issue. 
Climate is a disaster mitigation issue. 
Climate is a disaster preparedness issue.",09-09-2024,2024-09-09T03:32:03.000Z,climate disaster response issue climate disaster recovery issue climate disaster mitigation issue climate disaster preparedness issue,NEGATIVE
44,Quentin Dempster,@QuentinDempster,,1,1,1,21,https://x.com/QuentinDempster/status/1833046987811483833,https://x.com/QuentinDempster,"Climate change is not merely an environmental issue,it is a humanitarian, economic, and social crisis that affects every aspect of our lives.We are witnessing an increase in extreme weather patterns across the globe, from devastating  floods to unprecedented heatwaves & wildfires",09-09-2024,2024-09-09T07:37:12.000Z,climate change merely environmental issueit humanitarian economic social crisis affect every aspect liveswe witnessing increase extreme weather pattern across globe devastating flood unprecedented heatwaves wildfire,POSITIVE
45,Dr. Samantha Montano,@SamLMontano,,37,176,6,8000,https://x.com/SamLMontano/status/1195492086734360581,https://x.com/SamLMontano,"3/ Education empowers, equips, & skills people for climate mitigation, adaptation, & resilience. At the same time, climate change-induced heat & extreme weather events are significantly disrupting learning, & low-income countries and vulnerable communities are disproportionately",16-11-2019,2019-11-16T00:01:39.000Z,education empowers equips skill people climate mitigation adaptation resilience time climate changeinduced heat extreme weather event significantly disrupting learning lowincome country vulnerable community disproportionately,POSITIVE
46,Tangwa Abilu..SDG's.,@AbiluTangwa,"https://pbs.twimg.com/media/GXNQaC1XwAA4zwB?format=jpg&name=small, https://pbs.twimg.com/media/GXNQaC1XwAA4zwB?format=jpg&name=small",19,43,2,759,https://x.com/AbiluTangwa/status/1833897892651639080,https://x.com/AbiluTangwa,"The issue is more extreme weather. With climate change comes disruptions to the so-called ""temperate zone"" we live in. The planet is having a general trend upwards. But also expanded extremes. Hotter hots, yes, but colder colds. Drier droughts. Greater torrents.",09-11-2024,2024-09-11T15:58:24.000Z,issue extreme weather climate change come disruption socalled temperate zone live planet general trend upwards also expanded extreme hotter hots yes colder cold drier drought greater torrent,POSITIVE
47,The Sangyan By Abhishek,@thesangyan,,31,321,1,11,https://x.com/thesangyan/status/1833217006054920594,https://x.com/thesangyan,"New paper this week shows how we can become #NaturePositive by setting a global goal for nature. 

Conservation & business leaders are calling for a global goal for nature - like the 1.5 C goal we have for climate - to secure a nature-positive world by 2030",09-09-2024,2024-09-09T18:52:48.000Z,new paper week show become naturepositive setting global goal nature conservation business leader calling global goal nature like c goal climate secure naturepositive world,POSITIVE
48,Peter Corless,@PeterCorless,,43,599,17,100000,https://x.com/PeterCorless/status/1090286609814016007,https://x.com/PeterCorless,"In a challenging year it remains vitally important to agree a shared global goal to reverse nature loss by 2030.

People and the planet depend on an equitable, #NaturePositive and net-zero emissions world. RT to show your support. #COP15",29-01-2019,2019-01-29T16:32:38.000Z,challenging year remains vitally important agree shared global goal reverse nature loss people planet depend equitable naturepositive netzero emission world rt show support cop,POSITIVE
